Mission ID,Mission Path,Success (PRED),Domain,Total Goals,Type quantity,Success (PLAN),CPU time,Total time,Total Distance
36,"Go to picture ['base_1', 'region_8'] 827.331
Take Image ['region_8'] 285.714
Go to base ['region_8', 'base_1'] 827.331
",1,journal,2,2,1,0.02,1941.3760000000002,6794.816000000001
37,"Go to picture ['base_1', 'region_8'] 827.331
Take Image ['region_8'] 285.714
Go to base ['region_8', 'base_2'] 823.877
",1,journal,2,2,1,0.04,1937922,6782727
38,"Go to picture ['base_1', 'region_8'] 827.331
Take Image ['region_8'] 285.714
Go to base ['region_8', 'base_3'] 1050.406
",0,journal,2,2,1,0.02,2164451,7575.5785
39,"Go to picture ['base_1', 'region_8'] 827.331
Take Image ['region_8'] 285.714
Go to base ['region_8', 'base_4'] 356.080
",1,journal,2,2,1,0.02,1470125,5145.4375
40,"Go to picture ['base_1', 'region_9'] 570.669
Take Image ['region_9'] 285.714
",1,journal,1,1,1,0.02,856383,2997.3405000000002
41,"Go to picture ['base_1', 'region_9'] 570.669
Take Image ['region_9'] 285.714
Go to base ['region_9', 'base_1'] 570.669
",1,journal,2,2,1,0.0,1428.0520000000001,4998.182000000001
42,"Go to picture ['base_1', 'region_9'] 570.669
Take Image ['region_9'] 285.714
Go to base ['region_9', 'base_2'] 559.143
",1,journal,2,2,1,0.02,1416526,4957841
43,"Go to picture ['base_1', 'region_9'] 570.669
Take Image ['region_9'] 285.714
Go to base ['region_9', 'base_3'] 321.011
",1,journal,2,2,1,0.02,1178394,4124379
44,"Go to picture ['base_1', 'region_9'] 570.669
Take Image ['region_9'] 285.714
Go to base ['region_9', 'base_4'] 377.531
",1,journal,2,2,1,0.02,1234914,4322199
45,"Go to picture ['base_1', 'region_10'] 608.809
Take Image ['region_10'] 285.714
",1,journal,1,1,1,0.04,894.5229999999999,3130.8304999999996
46,"Go to picture ['base_1', 'region_10'] 608.809
Take Image ['region_10'] 285.714
Go to base ['region_10', 'base_1'] 608.809
",1,journal,2,2,1,0.02,1504.3319999999999,5265.161999999999
47,"Go to picture ['base_1', 'region_10'] 608.809
Take Image ['region_10'] 285.714
Go to base ['region_10', 'base_2'] 596.994
",1,journal,2,2,1,0.02,1492.5169999999998,5223.809499999999
48,"Go to picture ['base_1', 'region_10'] 608.809
Take Image ['region_10'] 285.714
Go to base ['region_10', 'base_3'] 216.990
",1,journal,2,2,1,0.02,1112513,3893.7954999999997
49,"Go to picture ['base_1', 'region_10'] 608.809
Take Image ['region_10'] 285.714
Go to base ['region_10', 'base_4'] 482.677
",1,journal,2,2,1,0.02,1378.1999999999998,4823.699999999999
50,"Go to picture ['base_1', 'region_11'] 584.554
Take Image ['region_11'] 285.714
",1,journal,1,1,1,0.02,870268,3045938
51,"Go to picture ['base_1', 'region_11'] 584.554
Take Image ['region_11'] 285.714
Go to base ['region_11', 'base_1'] 584.554
",1,journal,2,2,1,0.02,1455.8220000000001,5095377
52,"Go to picture ['base_1', 'region_11'] 584.554
Take Image ['region_11'] 285.714
Go to base ['region_11', 'base_2'] 572.783
",1,journal,2,2,1,0.02,1444051,5054.1785
53,"Go to picture ['base_1', 'region_11'] 584.554
Take Image ['region_11'] 285.714
Go to base ['region_11', 'base_3'] 248.221
",1,journal,2,2,1,0.02,1119489,3918.2115000000003
54,"Go to picture ['base_1', 'region_11'] 584.554
Take Image ['region_11'] 285.714
Go to base ['region_11', 'base_4'] 449.374
",1,journal,2,2,1,0.02,1320642,4622247
55,"Go to picture ['base_1', 'region_12'] 574.157
Take Image ['region_12'] 285.714
",1,journal,1,1,1,0.02,859.8710000000001,3009.5485000000003
56,"Go to picture ['base_1', 'region_12'] 574.157
Take Image ['region_12'] 285.714
Go to base ['region_12', 'base_1'] 574.157
",1,journal,2,2,1,0.02,1435.0280000000002,5022.598000000001
57,"Go to picture ['base_1', 'region_12'] 574.157
Take Image ['region_12'] 285.714
Go to base ['region_12', 'base_2'] 562.349
",1,journal,2,2,1,0.02,1423.2200000000003,4981.27
58,"Go to picture ['base_1', 'region_12'] 574.157
Take Image ['region_12'] 285.714
Go to base ['region_12', 'base_3'] 165.630
",1,journal,2,2,1,0.02,1026.5010000000002,3592.7535000000007
59,"Go to picture ['base_1', 'region_12'] 574.157
Take Image ['region_12'] 285.714
Go to base ['region_12', 'base_4'] 536.431
",1,journal,2,2,1,0.02,1397.3020000000001,4890.557000000001
60,"Go to picture ['base_1', 'region_2'] 355.083
Take Image ['region_2'] 285.714
Go to picture ['region_2', 'region_1'] 608.543
Take Image ['region_1'] 285.714
",1,journal,2,1,1,0.02,1535054,5372689
61,"Go to picture ['base_1', 'region_2'] 355.083
Take Image ['region_2'] 285.714
Go to picture ['region_2', 'region_1'] 608.543
Take Image ['region_1'] 285.714
Go to base ['region_1', 'base_1'] 617.866
",0,journal,3,2,1,0.02,2153.92,7538.72
