           lng            lat            alt
 -50.333007277  -12.792224000         15.000
 -50.333837310  -12.792386000         14.900
 -50.335478931  -12.792692000         14.800
 -50.337120552  -12.792998000         14.700
 -50.338762172  -12.793304000         14.600
 -50.340403793  -12.793628000         14.500
 -50.342045414  -12.793934000         14.400
 -50.343687035  -12.794240000         14.300
 -50.345328656  -12.794546000         14.200
 -50.346970277  -12.794852000         14.100
 -50.348611898  -12.795176000         14.000
 -50.350253518  -12.795482000         13.900
 -50.351895139  -12.795788000         13.800
 -50.353555205  -12.796094000         13.700
 -50.355196826  -12.796418000         13.600
 -50.356838447  -12.796724000         13.500
 -50.358480068  -12.797030000         13.400
 -50.360121689  -12.797336000         13.300
 -50.361763310  -12.797660000         13.200
 -50.363404931  -12.797966000         13.100
 -50.364234964  -12.798110000         13.000
