           lng            lat            alt
 -50.353647431  -12.797282000         15.000
 -50.352891179  -12.797120000         14.900
 -50.351397120  -12.796778000         14.800
 -50.349903060  -12.796436000         14.700
 -50.348409001  -12.796094000         14.600
 -50.346914941  -12.795752000         14.500
 -50.345402437  -12.795392000         14.400
 -50.343908377  -12.795050000         14.300
 -50.342414318  -12.794708000         14.200
 -50.340920258  -12.794366000         14.100
 -50.339426199  -12.794024000         14.000
 -50.337932139  -12.793682000         13.900
 -50.336438080  -12.793340000         13.800
 -50.334944021  -12.792998000         13.700
 -50.333431516  -12.792656000         13.600
 -50.331937456  -12.792314000         13.500
 -50.330443397  -12.791954000         13.400
 -50.328949338  -12.791612000         13.300
 -50.327455278  -12.791270000         13.200
 -50.325961219  -12.790928000         13.100
 -50.325204966  -12.790766000         13.000
