           lng            lat            alt
 -50.333007277  -12.792224000         15.000
 -50.333062612  -12.792224000         14.900
 -50.333191729  -12.792242000         14.800
 -50.333302400  -12.792260000         14.700
 -50.333431516  -12.792278000         14.600
 -50.333560632  -12.792296000         14.500
 -50.333671303  -12.792296000         14.400
 -50.333800419  -12.792314000         14.300
 -50.333911091  -12.792332000         14.200
 -50.334040207  -12.792350000         14.100
 -50.334150878  -12.792350000         14.000
 -50.334279994  -12.792368000         13.900
 -50.334409110  -12.792386000         13.800
 -50.334519781  -12.792404000         13.700
 -50.334648898  -12.792422000         13.600
 -50.334759569  -12.792422000         13.500
 -50.334888685  -12.792440000         13.400
 -50.334999356  -12.792458000         13.300
 -50.335128472  -12.792476000         13.200
 -50.335239143  -12.792476000         13.100
 -50.335312924  -12.792494000         13.000
