           lng            lat            alt
 -50.353647431  -12.797282000         15.000
 -50.353149411  -12.797894000         14.900
 -50.352171817  -12.799118000         14.800
 -50.351194223  -12.800342000         14.700
 -50.350198183  -12.801566000         14.600
 -50.349220588  -12.802772000         14.500
 -50.348242994  -12.803996000         14.400
 -50.347265400  -12.805220000         14.300
 -50.346287805  -12.806444000         14.200
 -50.345310211  -12.807650000         14.100
 -50.344314171  -12.808874000         14.000
 -50.343336577  -12.810098000         13.900
 -50.342358982  -12.811322000         13.800
 -50.341381388  -12.812546000         13.700
 -50.340403793  -12.813752000         13.600
 -50.339407754  -12.814976000         13.500
 -50.338430159  -12.816200000         13.400
 -50.337452565  -12.817424000         13.300
 -50.336640977  -12.818630000         13.200
 -50.336290519  -12.819854000         13.100
 -50.336290519  -12.820466000         13.000
