           lng            lat            alt
 -50.330019158  -12.794024000         15.000
 -50.330295836  -12.794294000         14.900
 -50.330867636  -12.794852000         14.800
 -50.331439437  -12.795410000         14.700
 -50.332029682  -12.795968000         14.600
 -50.332601483  -12.796526000         14.500
 -50.333173283  -12.797066000         14.400
 -50.333745084  -12.797624000         14.300
 -50.334316884  -12.798182000         14.200
 -50.334888685  -12.798740000         14.100
 -50.335460486  -12.799298000         14.000
 -50.336032286  -12.799856000         13.900
 -50.336604087  -12.800414000         13.800
 -50.337194332  -12.800972000         13.700
 -50.337766133  -12.801512000         13.600
 -50.338337933  -12.802070000         13.500
 -50.338909734  -12.802628000         13.400
 -50.339481534  -12.803186000         13.300
 -50.340053335  -12.803744000         13.200
 -50.340625135  -12.804302000         13.100
 -50.340920258  -12.804572000         13.000
