           lng            lat            alt
 -50.353647431  -12.797282000         15.000
 -50.353094076  -12.797156000         14.900
 -50.352005810  -12.796886000         14.800
 -50.350917545  -12.796616000         14.700
 -50.349847725  -12.796364000         14.600
 -50.348759459  -12.796094000         14.500
 -50.347671194  -12.795824000         14.400
 -50.346582928  -12.795554000         14.300
 -50.345494662  -12.795284000         14.200
 -50.344406397  -12.795032000         14.100
 -50.343318131  -12.794762000         14.000
 -50.342229866  -12.794492000         13.900
 -50.341160046  -12.794222000         13.800
 -50.340071780  -12.793952000         13.700
 -50.338983515  -12.793682000         13.600
 -50.337895249  -12.793430000         13.500
 -50.336806984  -12.793160000         13.400
 -50.335718718  -12.792890000         13.300
 -50.334630452  -12.792620000         13.200
 -50.333560632  -12.792350000         13.100
 -50.333007277  -12.792224000         13.000
