           lng            lat            alt
 -50.336290519  -12.820466000         15.000
 -50.336216738  -12.819728000         14.900
 -50.336032286  -12.818234000         14.800
 -50.335866279  -12.816758000         14.700
 -50.335700273  -12.815264000         14.600
 -50.335515821  -12.813770000         14.500
 -50.335349814  -12.812294000         14.400
 -50.335165363  -12.810800000         14.300
 -50.334999356  -12.809324000         14.200
 -50.334833349  -12.807830000         14.100
 -50.334648898  -12.806354000         14.000
 -50.334482891  -12.804860000         13.900
 -50.334316884  -12.803366000         13.800
 -50.334132433  -12.801890000         13.700
 -50.333966426  -12.800396000         13.600
 -50.333781974  -12.798920000         13.500
 -50.333615968  -12.797426000         13.400
 -50.333449961  -12.795932000         13.300
 -50.333265509  -12.794456000         13.200
 -50.333099503  -12.792962000         13.100
 -50.333007277  -12.792224000         13.000
