           lng            lat            alt
 -50.325204966  -12.790766000         15.000
 -50.325481644  -12.790802000         14.900
 -50.326016554  -12.790892000         14.800
 -50.326533019  -12.790982000         14.700
 -50.327067929  -12.791072000         14.600
 -50.327602840  -12.791162000         14.500
 -50.328137750  -12.791252000         14.400
 -50.328672660  -12.791360000         14.300
 -50.329189125  -12.791450000         14.200
 -50.329724035  -12.791540000         14.100
 -50.330258945  -12.791630000         14.000
 -50.330793855  -12.791720000         13.900
 -50.331328766  -12.791810000         13.800
 -50.331845231  -12.791900000         13.700
 -50.332380141  -12.791990000         13.600
 -50.332915051  -12.792080000         13.500
 -50.333449961  -12.792170000         13.400
 -50.333984871  -12.792260000         13.300
 -50.334501336  -12.792350000         13.200
 -50.335036246  -12.792440000         13.100
 -50.335312924  -12.792494000         13.000
