           lng            lat            alt
 -50.336290519  -12.820466000         15.000
 -50.336272073  -12.819728000         14.900
 -50.336216738  -12.818252000         14.800
 -50.336161402  -12.816794000         14.700
 -50.336124512  -12.815318000         14.600
 -50.336069176  -12.813842000         14.500
 -50.336013841  -12.812366000         14.400
 -50.335958505  -12.810890000         14.300
 -50.335903170  -12.809432000         14.200
 -50.335847834  -12.807956000         14.100
 -50.335810944  -12.806480000         14.000
 -50.335755608  -12.805004000         13.900
 -50.335700273  -12.803528000         13.800
 -50.335644937  -12.802070000         13.700
 -50.335589602  -12.800594000         13.600
 -50.335534266  -12.799118000         13.500
 -50.335497376  -12.797642000         13.400
 -50.335442040  -12.796166000         13.300
 -50.335386705  -12.794708000         13.200
 -50.335331369  -12.793232000         13.100
 -50.335312924  -12.792494000         13.000
