           lng            lat            alt
 -50.336290519  -12.820466000         15.000
 -50.336308964  -12.819782000         14.900
 -50.336345854  -12.818396000         14.800
 -50.336382744  -12.817010000         14.700
 -50.336419635  -12.815624000         14.600
 -50.336456525  -12.814238000         14.500
 -50.336493415  -12.812852000         14.400
 -50.336511861  -12.811484000         14.300
 -50.336548751  -12.810098000         14.200
 -50.336585641  -12.808712000         14.100
 -50.336622532  -12.807326000         14.000
 -50.336659422  -12.805940000         13.900
 -50.336696312  -12.804554000         13.800
 -50.336714758  -12.803186000         13.700
 -50.336751648  -12.801800000         13.600
 -50.336788538  -12.800414000         13.500
 -50.336825429  -12.799028000         13.400
 -50.336862319  -12.797642000         13.300
 -50.336899209  -12.796256000         13.200
 -50.336917655  -12.794870000         13.100
 -50.336936100  -12.794186000         13.000
