           lng            lat            alt
 -50.325204966  -12.790766000         15.000
 -50.325407863  -12.790802000         14.900
 -50.325832102  -12.790874000         14.800
 -50.326237896  -12.790946000         14.700
 -50.326643690  -12.791036000         14.600
 -50.327049484  -12.791108000         14.500
 -50.327473723  -12.791180000         14.400
 -50.327879517  -12.791252000         14.300
 -50.328285311  -12.791342000         14.200
 -50.328691105  -12.791414000         14.100
 -50.329115344  -12.791486000         14.000
 -50.329521138  -12.791576000         13.900
 -50.329926932  -12.791648000         13.800
 -50.330332726  -12.791720000         13.700
 -50.330756965  -12.791792000         13.600
 -50.331162759  -12.791882000         13.500
 -50.331568553  -12.791954000         13.400
 -50.331974347  -12.792026000         13.300
 -50.332398586  -12.792116000         13.200
 -50.332804380  -12.792188000         13.100
 -50.333007277  -12.792224000         13.000
