           lng            lat            alt
 -50.336936100  -12.794186000         15.000
 -50.336899209  -12.794150000         14.900
 -50.336806984  -12.794060000         14.800
 -50.336733203  -12.793970000         14.700
 -50.336640977  -12.793880000         14.600
 -50.336548751  -12.793790000         14.500
 -50.336474970  -12.793700000         14.400
 -50.336382744  -12.793610000         14.300
 -50.336290519  -12.793520000         14.200
 -50.336216738  -12.793430000         14.100
 -50.336124512  -12.793340000         14.000
 -50.336032286  -12.793250000         13.900
 -50.335958505  -12.793160000         13.800
 -50.335866279  -12.793070000         13.700
 -50.335774054  -12.792980000         13.600
 -50.335700273  -12.792890000         13.500
 -50.335608047  -12.792800000         13.400
 -50.335515821  -12.792710000         13.300
 -50.335442040  -12.792620000         13.200
 -50.335349814  -12.792530000         13.100
 -50.335312924  -12.792494000         13.000
