           lng            lat            alt
 -50.333007277  -12.792224000         15.000
 -50.333542187  -12.792476000         14.900
 -50.334593562  -12.792962000         14.800
 -50.335644937  -12.793448000         14.700
 -50.336696312  -12.793934000         14.600
 -50.337747688  -12.794420000         14.500
 -50.338799063  -12.794924000         14.400
 -50.339850438  -12.795410000         14.300
 -50.340901813  -12.795896000         14.200
 -50.341953188  -12.796382000         14.100
 -50.343004563  -12.796886000         14.000
 -50.344055939  -12.797372000         13.900
 -50.345107314  -12.797858000         13.800
 -50.346158689  -12.798344000         13.700
 -50.347210064  -12.798830000         13.600
 -50.348261439  -12.799334000         13.500
 -50.349312814  -12.799820000         13.400
 -50.350364190  -12.800306000         13.300
 -50.351415565  -12.800792000         13.200
 -50.352466940  -12.801278000         13.100
 -50.352983405  -12.801530000         13.000
