           lng            lat            alt
 -50.340920258  -12.804572000         15.000
 -50.341252271  -12.804374000         14.900
 -50.341916298  -12.803996000         14.800
 -50.342598769  -12.803618000         14.700
 -50.343262796  -12.803240000         14.600
 -50.343926822  -12.802844000         14.500
 -50.344590849  -12.802466000         14.400
 -50.345273320  -12.802088000         14.300
 -50.345937347  -12.801692000         14.200
 -50.346601373  -12.801314000         14.100
 -50.347283845  -12.800936000         14.000
 -50.347947871  -12.800540000         13.900
 -50.348611898  -12.800162000         13.800
 -50.349294369  -12.799784000         13.700
 -50.349958396  -12.799406000         13.600
 -50.350622422  -12.799010000         13.500
 -50.351304894  -12.798632000         13.400
 -50.351968920  -12.798254000         13.300
 -50.352632946  -12.797858000         13.200
 -50.353296973  -12.797480000         13.100
 -50.353647431  -12.797282000         13.000
