           lng            lat            alt
 -50.336290519  -12.820466000         15.000
 -50.336751648  -12.819854000         14.900
 -50.337673907  -12.818630000         14.800
 -50.338577721  -12.817424000         14.700
 -50.339499980  -12.816200000         14.600
 -50.340403793  -12.814976000         14.500
 -50.341326052  -12.813752000         14.400
 -50.342229866  -12.812546000         14.300
 -50.343152125  -12.811322000         14.200
 -50.344055939  -12.810098000         14.100
 -50.344978197  -12.808874000         14.000
 -50.345882011  -12.807650000         13.900
 -50.346785825  -12.806444000         13.800
 -50.347708084  -12.805220000         13.700
 -50.348611898  -12.803996000         13.600
 -50.349534157  -12.802772000         13.500
 -50.350437970  -12.801566000         13.400
 -50.351360229  -12.800342000         13.300
 -50.352264043  -12.799118000         13.200
 -50.353186302  -12.797894000         13.100
 -50.353647431  -12.797282000         13.000
