           lng            lat            alt
 -50.364234964  -12.798110000         15.000
 -50.363478711  -12.798704000         14.900
 -50.361966207  -12.799874000         14.800
 -50.360472147  -12.801062000         14.700
 -50.358959643  -12.802232000         14.600
 -50.357447138  -12.803420000         14.500
 -50.355953079  -12.804590000         14.400
 -50.354440574  -12.805760000         14.300
 -50.352946514  -12.806948000         14.200
 -50.351434010  -12.808118000         14.100
 -50.349921505  -12.809288000         14.000
 -50.348427446  -12.810476000         13.900
 -50.346914941  -12.811646000         13.800
 -50.345420882  -12.812816000         13.700
 -50.343908377  -12.814004000         13.600
 -50.342395873  -12.815174000         13.500
 -50.340901813  -12.816344000         13.400
 -50.339389308  -12.817532000         13.300
 -50.337895249  -12.818702000         13.200
 -50.336714758  -12.819872000         13.100
 -50.336290519  -12.820466000         13.000
