           lng            lat            alt
 -50.355750182  -12.823634000         15.000
 -50.355141491  -12.822806000         14.900
 -50.353942554  -12.821168000         14.800
 -50.352743618  -12.819512000         14.700
 -50.351563126  -12.817856000         14.600
 -50.350364190  -12.816200000         14.500
 -50.349165253  -12.814544000         14.400
 -50.347966316  -12.812888000         14.300
 -50.346767380  -12.811232000         14.200
 -50.345568443  -12.809594000         14.100
 -50.344369507  -12.807938000         14.000
 -50.343170570  -12.806282000         13.900
 -50.341990079  -12.804626000         13.800
 -50.340791142  -12.802970000         13.700
 -50.339592205  -12.801314000         13.600
 -50.338393269  -12.799658000         13.500
 -50.337194332  -12.798020000         13.400
 -50.335995396  -12.796364000         13.300
 -50.334796459  -12.794708000         13.200
 -50.333615968  -12.793052000         13.100
 -50.333007277  -12.792224000         13.000
