           lng            lat            alt
 -50.352983405  -12.801530000         15.000
 -50.352448495  -12.801260000         14.900
 -50.351341784  -12.800720000         14.800
 -50.350235073  -12.800180000         14.700
 -50.349146808  -12.799640000         14.600
 -50.348040097  -12.799118000         14.500
 -50.346933386  -12.798578000         14.400
 -50.345826676  -12.798038000         14.300
 -50.344738410  -12.797498000         14.200
 -50.343631699  -12.796958000         14.100
 -50.342524989  -12.796418000         14.000
 -50.341436723  -12.795878000         13.900
 -50.340330013  -12.795338000         13.800
 -50.339223302  -12.794798000         13.700
 -50.338116591  -12.794258000         13.600
 -50.337028326  -12.793736000         13.500
 -50.335921615  -12.793196000         13.400
 -50.334814904  -12.792656000         13.300
 -50.333726639  -12.792116000         13.200
 -50.332619928  -12.791576000         13.100
 -50.332066573  -12.791306000         13.000
