           lng            lat            alt
 -50.358111164  -12.798020000         15.000
 -50.357465583  -12.797858000         14.900
 -50.356137530  -12.797570000         14.800
 -50.354809477  -12.797264000         14.700
 -50.353499870  -12.796958000         14.600
 -50.352171817  -12.796652000         14.500
 -50.350843764  -12.796346000         14.400
 -50.349534157  -12.796040000         14.300
 -50.348206104  -12.795734000         14.200
 -50.346878051  -12.795428000         14.100
 -50.345568443  -12.795122000         14.000
 -50.344240390  -12.794816000         13.900
 -50.342912338  -12.794510000         13.800
 -50.341602730  -12.794204000         13.700
 -50.340274677  -12.793898000         13.600
 -50.338946624  -12.793592000         13.500
 -50.337637017  -12.793286000         13.400
 -50.336308964  -12.792980000         13.300
 -50.334999356  -12.792674000         13.200
 -50.333671303  -12.792386000         13.100
 -50.333007277  -12.792224000         13.000
