           lng            lat            alt
 -50.336290519  -12.820466000         15.000
 -50.336013841  -12.819692000         14.900
 -50.335423595  -12.818126000         14.800
 -50.334833349  -12.816560000         14.700
 -50.334261549  -12.814994000         14.600
 -50.333671303  -12.813428000         14.500
 -50.333081058  -12.811862000         14.400
 -50.332509257  -12.810296000         14.300
 -50.331919011  -12.808748000         14.200
 -50.331347211  -12.807182000         14.100
 -50.330756965  -12.805616000         14.000
 -50.330166719  -12.804050000         13.900
 -50.329594919  -12.802484000         13.800
 -50.329004673  -12.800918000         13.700
 -50.328414427  -12.799352000         13.600
 -50.327842627  -12.797804000         13.500
 -50.327252381  -12.796238000         13.400
 -50.326662135  -12.794672000         13.300
 -50.326090335  -12.793106000         13.200
 -50.325500089  -12.791540000         13.100
 -50.325204966  -12.790766000         13.000
