           lng            lat            alt
 -50.336198293  -12.819908000         15.000
 -50.336179847  -12.819188000         14.900
 -50.336124512  -12.817748000         14.800
 -50.336069176  -12.816308000         14.700
 -50.336032286  -12.814850000         14.600
 -50.335976951  -12.813410000         14.500
 -50.335940060  -12.811970000         14.400
 -50.335884725  -12.810530000         14.300
 -50.335847834  -12.809090000         14.200
 -50.335792499  -12.807650000         14.100
 -50.335755608  -12.806192000         14.000
 -50.335700273  -12.804752000         13.900
 -50.335663382  -12.803312000         13.800
 -50.335608047  -12.801872000         13.700
 -50.335571157  -12.800432000         13.600
 -50.335515821  -12.798992000         13.500
 -50.335478931  -12.797534000         13.400
 -50.335423595  -12.796094000         13.300
 -50.335368260  -12.794654000         13.200
 -50.335331369  -12.793214000         13.100
 -50.335312924  -12.792494000         13.000
