           lng            lat            alt
 -50.352983405  -12.801530000         15.000
 -50.352669837  -12.801620000         14.900
 -50.352042701  -12.801764000         14.800
 -50.351397120  -12.801926000         14.700
 -50.350769983  -12.802088000         14.600
 -50.350124402  -12.802250000         14.500
 -50.349497266  -12.802412000         14.400
 -50.348870130  -12.802574000         14.300
 -50.348224549  -12.802736000         14.200
 -50.347597413  -12.802898000         14.100
 -50.346951832  -12.803060000         14.000
 -50.346324695  -12.803204000         13.900
 -50.345679114  -12.803366000         13.800
 -50.345051978  -12.803528000         13.700
 -50.344406397  -12.803690000         13.600
 -50.343779261  -12.803852000         13.500
 -50.343133680  -12.804014000         13.400
 -50.342506544  -12.804176000         13.300
 -50.341879408  -12.804338000         13.200
 -50.341233826  -12.804500000         13.100
 -50.340920258  -12.804572000         13.000
