           lng            lat            alt
 -50.335312924  -12.792494000         15.000
 -50.335220698  -12.792458000         14.900
 -50.335054692  -12.792404000         14.800
 -50.334888685  -12.792332000         14.700
 -50.334704233  -12.792278000         14.600
 -50.334538227  -12.792206000         14.500
 -50.334372220  -12.792152000         14.400
 -50.334206213  -12.792080000         14.300
 -50.334021762  -12.792026000         14.200
 -50.333855755  -12.791954000         14.100
 -50.333689748  -12.791900000         14.000
 -50.333523742  -12.791828000         13.900
 -50.333339290  -12.791774000         13.800
 -50.333173283  -12.791720000         13.700
 -50.333007277  -12.791648000         13.600
 -50.332841270  -12.791594000         13.500
 -50.332656818  -12.791522000         13.400
 -50.332490812  -12.791468000         13.300
 -50.332324805  -12.791396000         13.200
 -50.332158799  -12.791342000         13.100
 -50.332066573  -12.791306000         13.000
