           lng            lat            alt
 -50.358111164  -12.798020000         15.000
 -50.357244241  -12.797822000         14.900
 -50.355510394  -12.797444000         14.800
 -50.353794993  -12.797066000         14.700
 -50.352061146  -12.796688000         14.600
 -50.350327299  -12.796292000         14.500
 -50.348593452  -12.795914000         14.400
 -50.346859606  -12.795536000         14.300
 -50.345125759  -12.795158000         14.200
 -50.343391912  -12.794780000         14.100
 -50.341658065  -12.794384000         14.000
 -50.339924219  -12.794006000         13.900
 -50.338208817  -12.793628000         13.800
 -50.336474970  -12.793250000         13.700
 -50.334741124  -12.792854000         13.600
 -50.333007277  -12.792476000         13.500
 -50.331273430  -12.792098000         13.400
 -50.329539583  -12.791720000         13.300
 -50.327805737  -12.791324000         13.200
 -50.326071890  -12.790946000         13.100
 -50.325204966  -12.790766000         13.000
