           lng            lat            alt
 -50.341012484  -12.800090000         15.000
 -50.340606690  -12.799838000         14.900
 -50.339776657  -12.799352000         14.800
 -50.338946624  -12.798866000         14.700
 -50.338116591  -12.798362000         14.600
 -50.337268113  -12.797876000         14.500
 -50.336438080  -12.797390000         14.400
 -50.335608047  -12.796904000         14.300
 -50.334778014  -12.796400000         14.200
 -50.333947981  -12.795914000         14.100
 -50.333117948  -12.795428000         14.000
 -50.332287915  -12.794942000         13.900
 -50.331457882  -12.794438000         13.800
 -50.330627849  -12.793952000         13.700
 -50.329779371  -12.793466000         13.600
 -50.328949338  -12.792962000         13.500
 -50.328119305  -12.792476000         13.400
 -50.327289272  -12.791990000         13.300
 -50.326459239  -12.791504000         13.200
 -50.325629206  -12.791000000         13.100
 -50.325204966  -12.790766000         13.000
