           lng            lat            alt
 -50.341012484  -12.800090000         15.000
 -50.341473614  -12.800036000         14.900
 -50.342377427  -12.799928000         14.800
 -50.343262796  -12.799820000         14.700
 -50.344166610  -12.799712000         14.600
 -50.345070423  -12.799604000         14.500
 -50.345974237  -12.799496000         14.400
 -50.346878051  -12.799388000         14.300
 -50.347763419  -12.799280000         14.200
 -50.348667233  -12.799172000         14.100
 -50.349571047  -12.799046000         14.000
 -50.350474861  -12.798938000         13.900
 -50.351360229  -12.798830000         13.800
 -50.352264043  -12.798722000         13.700
 -50.353167857  -12.798614000         13.600
 -50.354071670  -12.798506000         13.500
 -50.354975484  -12.798398000         13.400
 -50.355860853  -12.798290000         13.300
 -50.356764666  -12.798182000         13.200
 -50.357668480  -12.798074000         13.100
 -50.358111164  -12.798020000         13.000
