           lng            lat            alt
 -50.364234964  -12.798110000         15.000
 -50.364068957  -12.798110000         14.900
 -50.363736944  -12.798110000         14.800
 -50.363423376  -12.798110000         14.700
 -50.363109808  -12.798092000         14.600
 -50.362777794  -12.798092000         14.500
 -50.362464226  -12.798092000         14.400
 -50.362132213  -12.798092000         14.300
 -50.361818645  -12.798074000         14.200
 -50.361486632  -12.798074000         14.100
 -50.361173064  -12.798074000         14.000
 -50.360859496  -12.798056000         13.900
 -50.360527483  -12.798056000         13.800
 -50.360213915  -12.798056000         13.700
 -50.359881902  -12.798056000         13.600
 -50.359568333  -12.798038000         13.500
 -50.359236320  -12.798038000         13.400
 -50.358922752  -12.798038000         13.300
 -50.358590739  -12.798020000         13.200
 -50.358277171  -12.798020000         13.100
 -50.358111164  -12.798020000         13.000
