           lng            lat            alt
 -50.358111164  -12.798020000         15.000
 -50.357484028  -12.798614000         14.900
 -50.356248201  -12.799784000         14.800
 -50.354993929  -12.800972000         14.700
 -50.353739657  -12.802160000         14.600
 -50.352485385  -12.803330000         14.500
 -50.351249558  -12.804518000         14.400
 -50.349995286  -12.805706000         14.300
 -50.348741014  -12.806876000         14.200
 -50.347486742  -12.808064000         14.100
 -50.346232470  -12.809252000         14.000
 -50.344996643  -12.810422000         13.900
 -50.343742371  -12.811610000         13.800
 -50.342488098  -12.812780000         13.700
 -50.341233826  -12.813968000         13.600
 -50.339979554  -12.815156000         13.500
 -50.338743727  -12.816326000         13.400
 -50.337489455  -12.817514000         13.300
 -50.336585641  -12.818702000         13.200
 -50.336290519  -12.819872000         13.100
 -50.336290519  -12.820466000         13.000
