           lng            lat            alt
 -50.330019158  -12.794024000         15.000
 -50.330904526  -12.794132000         14.900
 -50.332712154  -12.794348000         14.800
 -50.334519781  -12.794564000         14.700
 -50.336308964  -12.794780000         14.600
 -50.338116591  -12.794996000         14.500
 -50.339924219  -12.795212000         14.400
 -50.341713401  -12.795428000         14.300
 -50.343521028  -12.795644000         14.200
 -50.345310211  -12.795860000         14.100
 -50.347117838  -12.796076000         14.000
 -50.348925466  -12.796292000         13.900
 -50.350714648  -12.796508000         13.800
 -50.352522275  -12.796724000         13.700
 -50.354329903  -12.796940000         13.600
 -50.356119085  -12.797138000         13.500
 -50.357926713  -12.797354000         13.400
 -50.359734340  -12.797570000         13.300
 -50.361523522  -12.797786000         13.200
 -50.363331150  -12.798002000         13.100
 -50.364234964  -12.798110000         13.000
