           lng            lat            alt
 -50.336936100  -12.794186000         15.000
 -50.336843874  -12.794132000         14.900
 -50.336640977  -12.794024000         14.800
 -50.336419635  -12.793934000         14.700
 -50.336216738  -12.793826000         14.600
 -50.336013841  -12.793718000         14.500
 -50.335810944  -12.793610000         14.400
 -50.335589602  -12.793520000         14.300
 -50.335386705  -12.793412000         14.200
 -50.335183808  -12.793304000         14.100
 -50.334980911  -12.793214000         14.000
 -50.334759569  -12.793106000         13.900
 -50.334556672  -12.792998000         13.800
 -50.334353775  -12.792890000         13.700
 -50.334150878  -12.792800000         13.600
 -50.333947981  -12.792692000         13.500
 -50.333726639  -12.792584000         13.400
 -50.333523742  -12.792476000         13.300
 -50.333320845  -12.792386000         13.200
 -50.333117948  -12.792278000         13.100
 -50.333007277  -12.792224000         13.000
