           lng            lat            alt
 -50.335312924  -12.792494000         15.000
 -50.335792499  -12.792620000         14.900
 -50.336751648  -12.792872000         14.800
 -50.337710797  -12.793124000         14.700
 -50.338688392  -12.793376000         14.600
 -50.339647541  -12.793628000         14.500
 -50.340606690  -12.793880000         14.400
 -50.341584285  -12.794132000         14.300
 -50.342543434  -12.794384000         14.200
 -50.343502583  -12.794636000         14.100
 -50.344480178  -12.794888000         14.000
 -50.345439327  -12.795140000         13.900
 -50.346398476  -12.795392000         13.800
 -50.347376071  -12.795644000         13.700
 -50.348335220  -12.795896000         13.600
 -50.349294369  -12.796148000         13.500
 -50.350253518  -12.796400000         13.400
 -50.351231113  -12.796652000         13.300
 -50.352190262  -12.796904000         13.200
 -50.353149411  -12.797156000         13.100
 -50.353647431  -12.797282000         13.000
