           lng            lat            alt
 -50.364234964  -12.798110000         15.000
 -50.363939841  -12.798200000         14.900
 -50.363349595  -12.798380000         14.800
 -50.362740904  -12.798560000         14.700
 -50.362150658  -12.798740000         14.600
 -50.361560413  -12.798920000         14.500
 -50.360970167  -12.799100000         14.400
 -50.360379921  -12.799280000         14.300
 -50.359789676  -12.799460000         14.200
 -50.359199430  -12.799640000         14.100
 -50.358609184  -12.799820000         14.000
 -50.358018939  -12.800000000         13.900
 -50.357428693  -12.800180000         13.800
 -50.356838447  -12.800360000         13.700
 -50.356248201  -12.800540000         13.600
 -50.355657956  -12.800720000         13.500
 -50.355067710  -12.800900000         13.400
 -50.354477464  -12.801080000         13.300
 -50.353887219  -12.801260000         13.200
 -50.353296973  -12.801440000         13.100
 -50.352983405  -12.801530000         13.000
