           lng            lat            alt
 -50.353647431  -12.797282000         15.000
 -50.353020295  -12.797210000         14.900
 -50.351766023  -12.797030000         14.800
 -50.350530196  -12.796868000         14.700
 -50.349294369  -12.796688000         14.600
 -50.348040097  -12.796508000         14.500
 -50.346804270  -12.796346000         14.400
 -50.345549998  -12.796166000         14.300
 -50.344314171  -12.796004000         14.200
 -50.343078344  -12.795824000         14.100
 -50.341824072  -12.795662000         14.000
 -50.340588245  -12.795482000         13.900
 -50.339333973  -12.795302000         13.800
 -50.338098146  -12.795140000         13.700
 -50.336843874  -12.794960000         13.600
 -50.335608047  -12.794798000         13.500
 -50.334372220  -12.794618000         13.400
 -50.333117948  -12.794456000         13.300
 -50.331882121  -12.794276000         13.200
 -50.330627849  -12.794114000         13.100
 -50.330019158  -12.794024000         13.000
